STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-25,,,,,0.08,0,0,,85,70,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-26,,,,,0.07,0,0,,85,70,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-27,,,,,0,0,0,,83,67,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-28,,,,,0,0,0,,87,66,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-29,,,,,0,0,0,,83,68,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-30,,,,,0,0,0,,84,69,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-01,,,,,0,0,0,,89,72,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-02,,,,,0.96,0,0,,91,72,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-03,,,,,1.78,0,0,,87,69,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-04,,,,,0.14,0,0,,74,65,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-05,,,,,0,0,0,,81,63,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-06,,,,,0,0,0,,84,66,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-07,,,,,0.04,0,0,,90,72,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-08,,,,,0.39,0,0,,91,71,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-09,,,,,0.09,0,0,,88,71,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-10,,,,,0,0,0,,83,72,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-11,,,,,0,0,0,,86,71,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-12,,,,,0,0,0,,85,71,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-13,,,,,0.03,0,0,,83,72,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-14,,,,,0.46,0,0,,84,72,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-15,,,,,1.3,0,0,,86,72,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-16,,,,,0,0,0,,81,68,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-07-17,,,,,0,0,0,,81,67,,,,,,,,,,,
